GoogleMetroArea,trends_geocode,typearea,GeoName,State,zip_code
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3907
Norfolk-Portsmouth-Newport News VA,501,DMA,New York,CT-NJ-NY-PA,11375
Binghamton NY,502,DMA,Binghamton,NY,14859
Macon GA,503,DMA,Macon,GA,31068
Philadelphia PA,504,DMA,Philadelphia,DE-NJ-PA,8061
Detroit MI,505,DMA,Detroit,MI,48001
Boston MA-Manchester NH,506,DMA,Boston (Manchester),MA-NH-VT,1863
Savannah GA,507,DMA,Savannah,GA-SC,31303
Pittsburgh PA,508,DMA,Pittsburgh,MD-PA-WV,15324
Ft. Wayne IN,509,DMA,Ft. Wayne,IN-OH,46859
Cleveland-Akron (Canton) OH,510,DMA,Cleveland-Akron (Canton),OH,44767
Washington DC (Hagerstown MD),511,DMA,"Washington,  DC (Hagerstown)",DC-MD-PA-VA-WV,20530
Baltimore MD,512,DMA,Baltimore,MD,21787
Flint-Saginaw-Bay City MI,513,DMA,Flint-Saginaw-Bay City,MI,48451
Buffalo NY,514,DMA,Buffalo,NY-PA,14092
Cincinnati OH,515,DMA,Cincinnati,IN-KY-OH,45167
Erie PA,516,DMA,Erie,PA,16422
Charlotte NC,517,DMA,Charlotte,NC-SC,28164
Greensboro-High Point-Winston Salem NC,518,DMA,Greensboro-High Point-Winston Salem,NC-VA,27305
Charleston SC,519,DMA,"Charleston,  SC",SC,29470
Augusta GA,520,DMA,Augusta-Aiken,GA-SC,29853
Providence RI-New Bedford MA,521,DMA,Providence-New Bedford,MA-RI,2879
Columbus GA,522,DMA,"Columbus,  GA  (Opelika,  AL)",AL-GA,36871
Burlington VT-Plattsburgh NY,523,DMA,Burlington-Plattsburgh,NH-NY-VT,5481
Atlanta GA,524,DMA,Atlanta,AL-GA-NC,30294
Albany GA,525,DMA,"Albany,  GA",GA,39870
Utica NY,526,DMA,Utica,NY,13454
Indianapolis IN,527,DMA,Indianapolis,IN,46143
Miami-Ft. Lauderdale FL,528,DMA,Miami-Ft. Lauderdale,FL,33355
Louisville KY,529,DMA,Louisville,IN-KY,40003
Tallahassee FL-Thomasville GA,530,DMA,Tallahassee-Thomasville,FL-GA,32350
Tri-Cities TN-VA,531,DMA,"Tri-Cities,  TN-VA",KY-TN-VA,24370
Albany-Schenectady-Troy NY,532,DMA,Albany-Schenectady-Troy,MA-NY-VT,12210
Hartford & New Haven CT,533,DMA,Hartford & New Haven,CT,6160
Orlando-Daytona Beach-Melbourne FL,534,DMA,Orlando-Daytona Beach-Melbourne,FL,32756
Columbus OH,535,DMA,"Columbus,  OH",OH,44881
Youngstown OH,536,DMA,Youngstown,OH-PA,16130
Bangor ME,537,DMA,Bangor,ME,4463
Rochester MN-Mason City IA-Austin MN,538,DMA,"Rochester,  NY",NY,14522
Tampa-St. Petersburg (Sarasota) FL,539,DMA,Tampa-St. Petersburg (Sarasota),FL,33758
Traverse City-Cadillac MI,540,DMA,Traverse City-Cadillac,MI,49760
Lexington KY,541,DMA,Lexington,KY,40410
Dayton OH,542,DMA,Dayton,IN-OH,45417
